0,INFP
1,INFJ
2,ENFP
3,INTJ
4,INTP
5,ISFJ
6,ENFJ
7,ENTJ
8,ISTJ
9,rt
10,ESTJ
11,ISFP
12,ISTP
13,i
14,ESFJ
15,ESTP
16,ESFP
17,like
18,it
19,the
20,i'm
21,get
22,love
23,amp
24,one
25,don't
26,time
27,go
28,peopl
29,day
30,make
31,know
32,this
33,good
34,thank
35,want
36,you
37,look
38,think
39,a
40,new
41,thing
42,need
43,that
44,see
45,feel
46,today
47,my
48,what
49,work
50,say
51,video
52,year
53,de
54,realli
55,much
56,life
57,so
58,via
59,you'r
60,u
61,can't
62,got
63,happi
64,still
65,and
66,would
67,watch
68,take
69,right
70,come
71,even
72,never
73,if
74,us
75,way
76,best
77,great
78,back
79,i'v
80,@youtub
81,tri
82,use
83,me
84,first
85,friend
86,que
87,let
88,e
89,we
90,fuck
91,how
92,read
93,live
94,when
95,someon
96,oh
97,is
98,to
99,ever
100,also
101,alway
102,person
103,w
104,he
105,trump
106,start
107,well
108,last
109,help
110,im
111,in
112,show
113,world
114,there
115,everi
116,talk
117,lol
118,just
119,week
120,hope
121,pleas
122,give
123,actual
124,but
125,follow
126,better
127,call
128,could
129,guy
130,yes
131,girl
132,no
133,made
134,find
135,someth
136,god
137,play
138,man
139,women
140,stop
141,tell
142,mean
143,:)
144,book
145,thought
146,keep
147,everyon
148,wait
149,i'll
150,why
151,ask
152,mani
153,eu
154,night
155,chang
156,check
157,game
158,tweet
159,beauti
160,happen
161,la
162,not
163,for
164,post
165,miss
166,bad
167,end
168,next
169,n
170,l
171,didn't
172,lot
173,final
174,your
175,littl
176,said
177,real
178,gonna
179,she
180,sure
181,two
182,word
183,die
184,may
185,do
186,learn
187,shit
188,hate
189,doesn't
190,photo
191,song
192,na
193,here
194,stori
195,free
196,twitter
197,everyth
198,lt
199,rememb
200,part
201,put
202,omg
203,all
204,believ
205,win
206,long
207,write
208,care
209,hard
210,th
211,amaz
212,listen
213,tonight
214,home
215,support
216,done
217,kid
218,hour
219,yeah
220,old
221,heart
222,name
223,we'r
224,fun
225,share
226,school
227,pretti
228,ok
229,nice
230,anoth
231,cri
232,gt
233,birthday
234,around
235,morn
236,they'r
237,alreadi
238,on
239,who
240,b
241,white
242,of
243,they
244,wonder
245,cute
246,big
247,music
248,are
249,anyon
250,differ
251,isn't
252,open
253,true
254,ya
255,job
256,di
257,mayb
258,idea
259,more
260,sinc
261,favorit
262,wish
263,sleep
264,anyth
265,though
266,movi
267,black
268,now
269,noth
270,without
271,away
272,okay
273,hous
274,art
275,sorri
276,kind
277,month
278,excit
279,face
280,point
281,boy
282,se
283,tomorrow
284,place
285,enough
286,can
287,interest
288,question
289,plan
290,type
291,i'd
292,liter
293,turn
294,haha
295,da
296,meet
297,found
298,sound
299,ur
300,break
